
2021-01-31-10:38|DEBUG |connectionpool.py:937|Starting new HTTPS connection (1): qyapi.weixin.qq.com:443
2021-01-31-10:38|DEBUG |connectionpool.py:433|https://qyapi.weixin.qq.com:443 "GET /cgi-bin/gettoken?corpid=ww630f49269e06f865&corpsecret=YC9RRMQcQqGNxapjoeiDIn84mCY7H-aJblz_X9X073U HTTP/1.1" 200 277
2021-01-31-10:38|INFO  |member_api.py:69 |{'token': '3h5SRvFNz0cMvrD5rwBpEXBnNXbTHXBlQjPpXgXy3pmFlKt1BytnwpvRL27baPGGkUZkx1_yp8Jo5A_10vjdkkFSxNUaiftLfo6NmdU3AYHeG82uX1sW0JESys4Fc77t7zcAYy-oG4OOEJqGCvD07rGGFrWYpEoWsUWm678j0L34I9wGh7JPeSQJuuwFJSpKrQu_wx5Qd_jKPekw3bdoqg', 'userid': 'tong1234', 'name': 'tong', 'mobile': '13172661165', 'department': [1, 2]}
2021-01-31-10:38|DEBUG |connectionpool.py:937|Starting new HTTPS connection (1): qyapi.weixin.qq.com:443
2021-01-31-10:38|DEBUG |connectionpool.py:433|https://qyapi.weixin.qq.com:443 "POST /cgi-bin/user/create?access_token=xxxxx HTTP/1.1" 200 49
2021-01-31-10:40|INFO  |member_api.py:69 |{'token': '3h5SRvFNz0cMvrD5rwBpEXBnNXbTHXBlQjPpXgXy3pmFlKt1BytnwpvRL27baPGGkUZkx1_yp8Jo5A_10vjdkkFSxNUaiftLfo6NmdU3AYHeG82uX1sW0JESys4Fc77t7zcAYy-oG4OOEJqGCvD07rGGFrWYpEoWsUWm678j0L34I9wGh7JPeSQJuuwFJSpKrQu_wx5Qd_jKPekw3bdoqg', 'userid': 'tong1234', 'name': 'tong', 'mobile': '13172661165', 'department': [1, 2]}
2021-01-31-10:41|INFO  |member_api.py:71 |{'method': 'post', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/create', 'params': 'access_token=xxxxx', 'json': {'userid': 'zhangsan', 'name': '张三', 'alias': 'jackzhang', 'mobile': '+86 13800000000', 'department': [1, 2]}}
2021-01-31-10:42|INFO  |member_api.py:71 |{'method': 'post', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/create', 'params': 'access_token=3h5SRvFNz0cMvrD5rwBpEXBnNXbTHXBlQjPpXgXy3pmFlKt1BytnwpvRL27baPGGkUZkx1_yp8Jo5A_10vjdkkFSxNUaiftLfo6NmdU3AYHeG82uX1sW0JESys4Fc77t7zcAYy-oG4OOEJqGCvD07rGGFrWYpEoWsUWm678j0L34I9wGh7JPeSQJuuwFJSpKrQu_wx5Qd_jKPekw3bdoqg', 'json': {'userid': 'tong1234', 'name': 'tong', 'mobile': 13172661165, 'department': [1, 2]}}
2021-02-10-10:55|INFO  |test_member.py:38 |------------开始增加联系人--------
2021-02-10-10:55|INFO  |base_api.py:115|请求格式为：{'json': {'department': [1, 2], 'mobile': 13072661165, 'name': 'tong1234', 'userid': None}, 'method': 'post', 'params': 'access_token=XEzu40VAget9CATgQLD7Rm4yMFg20jcxR80X4V9-Ezk7z7gcUm98R4Lxt9sHjH0rcWoV0fnoyK_8spJ20MblhKCzp0krI0Fp93WEBTlrX0bm5fPSvEycQftoRvVM97mBoF7_Wqu52DxWaTuG1HGvqR2RCaIamuEVxILABTqPTusrwt3-oem4pLWolpjoe0ONdoBqJV-zra62F3TJpssdzw', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/create'}
2021-02-10-10:55|INFO  |base_api.py:52 |响应的内容:{'errcode': 41009, 'errmsg': 'Warning: wrong json format. missing userid, hint: [1612925717_161_0b0327b6e7dc4d29ff261af63fb2065c], from ip: 125.89.58.116, more info at https://open.work.weixin.qq.com/devtool/query?e=41009'}
2021-02-10-10:55|INFO  |test_member.py:38 |------------开始增加联系人--------
2021-02-10-10:55|INFO  |base_api.py:115|请求格式为：{'json': {'department': [1, 2], 'mobile': None, 'name': 'tong12341', 'userid': 'tong12341'}, 'method': 'post', 'params': 'access_token=XEzu40VAget9CATgQLD7Rm4yMFg20jcxR80X4V9-Ezk7z7gcUm98R4Lxt9sHjH0rcWoV0fnoyK_8spJ20MblhKCzp0krI0Fp93WEBTlrX0bm5fPSvEycQftoRvVM97mBoF7_Wqu52DxWaTuG1HGvqR2RCaIamuEVxILABTqPTusrwt3-oem4pLWolpjoe0ONdoBqJV-zra62F3TJpssdzw', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/create'}
2021-02-10-10:55|INFO  |base_api.py:52 |响应的内容:{'errcode': 60129, 'errmsg': 'missing mobile or email, hint: [1612925717_161_a832b5e9ae7f0fedd80d939b088dadcb], from ip: 125.89.58.116, more info at https://open.work.weixin.qq.com/devtool/query?e=60129'}
2021-02-10-10:55|INFO  |test_member.py:38 |------------开始增加联系人--------
2021-02-10-10:55|INFO  |base_api.py:115|请求格式为：{'json': {'department': [1, 2], 'mobile': 13072661165, 'name': 'tong1234', 'userid': None}, 'method': 'post', 'params': 'access_token=XEzu40VAget9CATgQLD7Rm4yMFg20jcxR80X4V9-Ezk7z7gcUm98R4Lxt9sHjH0rcWoV0fnoyK_8spJ20MblhKCzp0krI0Fp93WEBTlrX0bm5fPSvEycQftoRvVM97mBoF7_Wqu52DxWaTuG1HGvqR2RCaIamuEVxILABTqPTusrwt3-oem4pLWolpjoe0ONdoBqJV-zra62F3TJpssdzw', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/create'}
2021-02-10-10:55|INFO  |base_api.py:52 |响应的内容:{'errcode': 41009, 'errmsg': 'Warning: wrong json format. missing userid, hint: [1612925724_161_6ab74164d2007497f3f866417f9d5a72], from ip: 125.89.58.116, more info at https://open.work.weixin.qq.com/devtool/query?e=41009'}
2021-02-10-10:55|INFO  |test_member.py:38 |------------开始增加联系人--------
2021-02-10-10:55|INFO  |base_api.py:115|请求格式为：{'json': {'department': [1, 2], 'mobile': None, 'name': 'tong12341', 'userid': 'tong12341'}, 'method': 'post', 'params': 'access_token=XEzu40VAget9CATgQLD7Rm4yMFg20jcxR80X4V9-Ezk7z7gcUm98R4Lxt9sHjH0rcWoV0fnoyK_8spJ20MblhKCzp0krI0Fp93WEBTlrX0bm5fPSvEycQftoRvVM97mBoF7_Wqu52DxWaTuG1HGvqR2RCaIamuEVxILABTqPTusrwt3-oem4pLWolpjoe0ONdoBqJV-zra62F3TJpssdzw', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/create'}
2021-02-10-10:55|INFO  |base_api.py:52 |响应的内容:{'errcode': 60129, 'errmsg': 'missing mobile or email, hint: [1612925724_161_714e3558f90897db6dbd91512c4c8459], from ip: 125.89.58.116, more info at https://open.work.weixin.qq.com/devtool/query?e=60129'}
2021-02-10-10:56|INFO  |test_member.py:38 |------------开始增加联系人--------
